ID,location,profile_HWD,household_size,heater_type,has_solar,control_type,tariff_type,new_system,old_heater,ID,net_present_cost,payback_period,LCOHW,capital_cost,annual_energy_cost,daily_supply_cost,oandm_cost,others_cost,rebates,disconnection_costs,solar_ratio_real,annual_fit_opp_cost,emissions_total,annual_energy_consumption
111,800,1,4,standard_heat_pump,TRUE,CL1,CL,TRUE,none,111,5144.594056,,0.342768129,2299,255.5218689,0,200,,0,0,0,0,0.7093038,972.6755572
112,800,1,4,standard_heat_pump,TRUE,CL2,CL,TRUE,none,112,4829.194231,,0.32175295,2299,205.0327566,0,200,,0,0,0.294715368,30.42868498,0.808436024,1106.620617
113,800,1,4,standard_heat_pump,TRUE,CL3,CL,TRUE,none,113,4566.674418,,0.304265649,2299,163.0086613,0,200,,0,0,0.406644055,39.67631973,0.76327652,1045.767908
114,800,1,4,standard_heat_pump,TRUE,timer_SS,flat,TRUE,none,114,3784.46958,,0.252146164,2299,37.79353841,0,200,,0,0,0.853040062,71.24783809,0.668085069,914.8112262
115,800,1,4,premium_heat_pump,FALSE,GS,flat,TRUE,none,115,7894.18671,,0.525959795,5467,188.5433427,0,200,,0,0,0,0,0.489876001,670.6934929
116,800,1,4,premium_heat_pump,FALSE,GS,tou,TRUE,none,116,7974.75865,,0.531327998,5467,201.4412753,0,200,,0,0,0,0,0.489876001,670.6934929
117,800,1,4,premium_heat_pump,FALSE,CL1,CL,TRUE,none,117,7707.553606,,0.513533031,5467,158.6671697,0,200,,0,0,0,0,0.440392479,603.9861808
118,800,1,4,premium_heat_pump,FALSE,CL2,CL,TRUE,none,118,7814.815601,,0.520675873,5467,175.8376386,0,200,,0,0,0,0,0.488987051,669.3476916
119,800,1,4,premium_heat_pump,FALSE,timer_OP,tou,TRUE,none,119,7666.703226,,0.510811182,5467,152.1278527,0,200,,0,0,0,0,0.438923846,601.2950249
120,800,1,4,premium_heat_pump,FALSE,CL3,CL,TRUE,none,120,7743.589444,,0.515935009,5467,164.435776,0,200,,0,0,0,0,0.456551365,625.9450934
121,800,1,4,premium_heat_pump,TRUE,GS,flat,TRUE,none,121,7520.106255,,0.501036229,5467,128.6606522,0,200,,0,0,0.317607027,19.44844901,0.489876001,670.6934929
122,800,1,4,premium_heat_pump,TRUE,GS,tou,TRUE,none,122,7538.545107,,0.50226474,5467,131.6123383,0,200,,0,0,0.317607027,19.44844901,0.489876001,670.6934929
123,800,1,4,premium_heat_pump,TRUE,CL1,CL,TRUE,none,123,7707.553606,,0.513533031,5467,158.6671697,0,200,,0,0,0,0,0.440392479,603.9861808
124,800,1,4,premium_heat_pump,TRUE,CL2,CL,TRUE,none,124,7539.708985,,0.50234641,5467,131.7986515,0,200,,0,0,0.250452562,15.64079748,0.488987051,669.3476916
